PYTHON_NUMBER,CEO_1,CEO_2,CEO_3,LEVEL,GENDER,AGE,ETHNICITY,ETHNICITY_2,COUNTRY,JOB_PROFILE,WORKING_PATTERN,CURRENT_SALARY,SALARY_INCREASE_PCT,NEW_SALARY_FTE,NEW_SALARY,CURRENT_SALARY_FOR_THOSE_WITH_INCREASE,HAS_SALARY_INCREASE,SALARY_ELIGIBLE,BONUS_ELIGIBLE,SALARY_MAVP_FOR_DISCRETIONARY_AWARD,DISCRETIONARY_RATIONALE,DISCRETIONARY_AMOUNT,DISCRETIONARY_BONUS_PCT,BONUS_OPPORTUNITY,DIVISION
33264,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Digital Banking (Jennifer Scott),B,Female,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B8,Full time,22773.48,0.0962,24963.24,24963.24,22773.48,1,Yes,Yes,22773.48,Performing,2627.71,0.115385,0.15,NatWest Digital X
33265,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Portfolio Management (David Harris),B,Female,31 - 40,Unknown,undisclosed,India,Relationship Manager - Credit Delivery B6,Full time,10773.61,0.085,11688.93,11688.93,10773.61,1,Yes,Yes,10773.61,Performing,1270.06,0.117886,0.15,C&I RFB
33266,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),B,Male,31 - 40,Unknown,undisclosed,India,Performance & Business Management Manager B8,Full time,23531.13,0.0744,25282.94,25282.94,23531.13,1,Yes,Yes,23531.13,Performing,2890.48,0.122836,0.15,Retail Banking
33267,People (Maria Kokkinou),Commercial & Institutional and Inclusion (Anjali Tull),Day to Day Goal (Karen Lillie),B,Male,31 - 40,Unknown,undisclosed,India,HR Case Consultant B7,Full time,9840.77,0.1482,11299.15,11299.15,9840.77,1,Yes,Yes,9840.77,Performing,1471.52,0.149533,0.15,People
33269,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Finance Reporting and Control (Lesley McGill),C,Male,21 - 30,Unknown,undisclosed,United Kingdom,Risk Data and Reporting Manager C9,Full time,59709.47,0.0502,62709.47,62709.47,59709.47,1,Yes,Yes,59709.47,Performing,9553.52,0.16,0.25,Finance
33278,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),FinCrime Technology Team (Nigel Hayward),D,Male,41 - 50,Unknown,undisclosed,United Kingdom,Production Management Manager D12,Full time,130000.0,0.022,132860.0,132860.0,130000.0,1,Yes,Yes,130000.0,Performing,30550.0,0.235,0.5,Customer & Operations
33279,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),Unsecured Lending (Martin Moore),C,Female,21 - 30,Unknown,undisclosed,United Kingdom,Journey Developer C11,Full time,59800.0,0.075,64285.0,64285.0,59800.0,1,Yes,Yes,59800.0,Performing,14000.0,0.234114,0.25,Retail Banking
33282,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),A,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention A4,Part time,25249.56,0.04,28720.923111,26259.54,25249.56,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33288,NatWest Digital X (Scott Marcar),Data and Analytics (Karen Dewar),One bank Customer Analytics (Corinne King.),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Data Scientist B7,Full time,53713.85,0.035,55592.68,55592.68,53713.85,1,Yes,,0.0,,0.0,0.0,0.0,NatWest Digital X
15696,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),NatWest Markets (Jonathan Peberdy),NWM Finance (Simon Lowe),C,Female,41 - 50,Unknown,undisclosed,Netherlands,Financial Controller C9,Full time,72481.5,0.0,72481.5,72481.5,0.0,0,Yes,Yes,72481.5,Performing,14922.66,0.205882,0.15,NatWest Markets
33292,Risk (Keiran Foad),Director of Risk Retail Banking (Ian Gannon),CreditStrategy (GARETH WARBURTON),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,Credit Strategy Risk Manager C11,Full time,59800.0,0.0463,62570.0,62570.0,59800.0,1,Yes,Yes,59800.0,Performing,11000.0,0.183946,0.25,Risk
33294,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Delivery Analyst B6,Full time,8246.63,0.0797,8903.55,8903.55,8246.63,1,Yes,Yes,8246.63,Performing,578.1,0.070101,0.15,C&I RFB
33296,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),FinCrime Technology Team (Nigel Hayward),B,Male,21 - 30,Unknown,undisclosed,India,WoW - Software Engineer B6,Full time,7642.25,0.2264,9372.16,9372.16,7642.25,1,Yes,Yes,7642.25,Performing,840.65,0.11,0.15,Customer & Operations
33298,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst - Customer Contact B6,Full time,6144.46,0.0798,6634.97,6634.97,6144.46,1,Yes,Yes,6144.46,Performing,525.54,0.085531,0.15,Retail Banking
33300,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5237.9,0.1104,5816.0,5816.0,5237.9,1,Yes,Yes,5237.9,Performing,449.34,0.085786,0.15,Customer & Operations
33302,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Quality Assurance Customer Due Diligence Operations (Donna Porter),B,Male,21 - 30,Unknown,undisclosed,India,Risk & Controls Analyst B7,Full time,9743.54,0.0747,10471.42,10471.42,9743.54,1,Yes,Yes,9743.54,Performing,778.85,0.079935,0.15,Customer & Operations
33303,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Services (Mansoor Aboobakker Kuttil Ali),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Delivery Analyst B7,Full time,11211.56,0.068,11973.59,11973.59,11211.56,1,Yes,Yes,11211.56,Performing,575.0,0.051286,0.15,Customer & Operations
33304,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Customer and Trade Operations (Anurag Vohra),B,Female,21 - 30,Unknown,undisclosed,India,WoW - Software Engineer B6,Full time,7747.36,0.1131,8623.27,8623.27,7747.36,1,Yes,Yes,7747.36,Performing,545.0,0.070347,0.15,NatWest Digital X
33305,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst I B5,Full time,5465.63,0.1042,6034.97,6034.97,5465.63,1,Yes,Yes,5465.63,Performing,199.71,0.036539,0.15,Customer & Operations
33306,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Credit Analyst B6,Full time,6835.46,0.0802,7383.86,7383.86,6835.46,1,Yes,Yes,6835.46,Performing,700.72,0.102512,0.15,C&I RFB
33308,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",B,Male,21 - 30,Unknown,undisclosed,India,WoW - Production Analyst B6,Full time,7821.81,0.1008,8610.13,8610.13,7821.81,1,Yes,Yes,7821.81,Performing,1205.83,0.154163,0.15,NatWest Digital X
33310,NatWest Digital X (Scott Marcar),DX Architecture (Diana Kennedy),Enterprise Engineering (Declan O'Gorman),D,Male,51 - 60,Unknown,undisclosed,United Kingdom,Principal Enterprise Architect D12,Full time,148000.0,0.0,148000.0,148000.0,0.0,0,Yes,Yes,148000.0,Performing,35000.0,0.236486,0.5,NatWest Digital X
33311,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),Unsecured Lending (Martin Moore),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,Product Owner C9,Full time,65853.55,0.025,67499.89,67499.89,65853.55,1,Yes,Yes,65853.55,Performing,0.0,0.0,0.25,Retail Banking
33312,Retail Banking (Solange Chamberlain),Payments CoE (Mark Brant),Payments (Simon Eacott),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B5,Full time,5579.5,0.1177,6236.43,6236.43,5579.5,1,Yes,Yes,5579.5,Performing,499.26,0.089481,0.15,Payments CoE
33313,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),Core Solutions (Iain McCorquodale),B,Male,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B8,Full time,31488.71,0.0606,33398.18,33398.18,31488.71,1,Yes,Yes,31488.71,Performing,3149.31,0.100014,0.15,NatWest Digital X
33314,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),A,Male,61 - 64,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention (Volume) A3,Part time,20731.57,0.0,25019.997586,20731.57,0.0,0,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33316,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Female,41 - 50,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention B5,Part time,30228.13,0.04,34383.954938,31437.25,30228.13,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33320,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),Chief Operating Office (Mark Beaumont),B,Female,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service & Operations Delivery Manager B5,Full time,29206.18,0.06,30958.55,30958.55,29206.18,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
33322,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),FH&S (Haydn Williams),B,Female,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst B5,Part time,19420.92,0.0579,29962.753391,20545.46,19420.92,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33323,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Customer Due Diligence (Jeremy Taylor),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Anti-Money Laundering B5,Full time,31709.87,0.0495,33278.26,33278.26,31709.87,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33325,Risk (Keiran Foad),"Director of Risk, Digital X and Functions (Sandra Reynolds)","Productivity, People and Shared Services Risk Oversight (Joanne Emmerson)",C,Female,41 - 50,Unknown,undisclosed,United Kingdom,Operational Risk Oversight Manager C11,Full time,99608.62,0.02,101600.79,101600.79,99608.62,1,Yes,Yes,99608.62,Performing,0.0,0.0,0.25,Risk
33326,Commercial & Institutional Non Ring Fenced Bank (Robert Begbie),RBSI Exco (Jane Howard),RBSI Retail Coverage (Richard Steel),A,Female,65 and over,Unknown,undisclosed,United Kingdom,Personal Banker (Volume) A3,Full time,27334.73,0.045,28564.79,28564.79,27334.73,1,Yes,,0.0,,0.0,0.0,0.0,RBS International
33330,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Services (Mansoor Aboobakker Kuttil Ali),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Anti Tax Evasion Analyst B7,Full time,45892.05,0.0414,47792.05,47792.05,45892.05,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33331,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention B5,Full time,34487.91,0.0358,35722.55,35722.55,34487.91,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33333,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),FH&S (Haydn Williams),A,Male,51 - 60,Unknown,undisclosed,United Kingdom,Performance & Business Management Analyst A3,Full time,27176.04,0.0683,29033.31,29033.31,27176.04,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33334,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),B,Female,31 - 40,Unknown,undisclosed,India,Customer Service & Operations Analyst - Customer Contact B5,Full time,5872.93,0.0447,6135.7,6135.7,5872.93,1,Yes,Yes,5872.93,Performing,280.29,0.047726,0.15,Retail Banking
33335,Finance (Katie Murray),Finance - Group Finance (Andrew Wells),Digital Finance (Carolyn Munro),B,Female,31 - 40,Unknown,undisclosed,India,Financial Control Associate B8,Full time,18240.68,0.1301,20614.38,20614.38,18240.68,1,Yes,Yes,18240.68,Performing,2281.73,0.12509,0.15,Finance
33338,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Branch and Local Banking (Jimmy Robertson),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,Branch Manager B6,Full time,46091.44,0.0364,47771.09,47771.09,46091.44,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33340,People (Maria Kokkinou),Commercial & Institutional and Inclusion (Anjali Tull),Markets HR (Geraldine Fox),D,Female,65 and over,Unknown,undisclosed,Netherlands,"Human Resources, Country Head D12",Full time,171018.45,0.0,171018.45,171018.45,0.0,0,Yes,Yes,171018.45,Performing,41357.09,0.241828,0.5,People
33341,Chief Audit Office (Nicholas Curle),Audit Data Analytics (Aman Chatur),,C,Male,31 - 40,Unknown,undisclosed,United Kingdom,Senior Audit Manager - Data Analytics C11,Full time,103020.0,0.0348,106600.0,106600.0,103020.0,1,Yes,Yes,103020.0,Performing,17500.0,0.16987,0.25,Audit
33342,Retail Banking (Solange Chamberlain),Home Ownership and Customer Borrowing (Barry Connolly),HBO Distribution (Bradley Fordham),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,Mortgage Specialist (Regulated) B7,Part time,32307.22,0.0566,42670.025,34136.02,32307.22,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33350,Customer & Operations (James Holian),Property Services (Fiona Walmsley),"Property Services Print, Mail & Logistics (Shaun Campbell)",B,Male,61 - 64,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst B7,Full time,46634.1,0.0225,47683.37,47683.37,46634.1,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33354,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",C,Male,41 - 50,Unknown,undisclosed,United Kingdom,Software Engineer C11,Full time,141963.0,0.02,144802.26,144802.26,141963.0,1,Yes,Yes,141963.0,Performing,7098.15,0.05,0.25,NatWest Digital X
33360,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Frontline Support (Jane Law),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Controls Assurance B5,Full time,28985.0,0.0543,30558.15,30558.15,28985.0,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33364,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",B,Female,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer B6,Full time,7707.95,0.1023,8496.26,8496.26,7707.95,1,Yes,Yes,7707.95,Performing,1188.28,0.154163,0.15,NatWest Digital X
33366,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),A,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst - Fraud Prevention A4,Part time,12329.81,0.06,28730.710046,13069.6,12329.81,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33367,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Female,31 - 40,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst (Volume) A4,Part time,15606.0,0.045,27180.45,16308.27,15606.0,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33368,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Commercial Mid-Market (Andrew Gray),Commercial Mid-Market - Portfolio Management (David Harris),B,Female,21 - 30,Unknown,undisclosed,India,Relationship Manager - Credit Delivery B7,Full time,19094.69,0.095,20907.8,20907.8,19094.69,1,Yes,Yes,19094.69,Performing,2145.96,0.112385,0.15,C&I RFB
33370,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Treasury Solutions (Chris Ross),C,Female,31 - 40,Unknown,undisclosed,India,Technology WOW - Programme Manager C10,Full time,43618.92,0.0703,46685.63,46685.63,43618.92,1,Yes,Yes,43618.92,Performing,5255.42,0.120485,0.25,NatWest Digital X
33372,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Fraud Prevention B5,Full time,5964.9,0.1615,6928.39,6928.39,5964.9,1,Yes,Yes,5964.9,Performing,499.26,0.0837,0.15,Customer & Operations
33373,Chief Audit Office (Nicholas Curle),Commercial and Institutional (Gregory Warland),NatWest Markets & E-Trading (Danish Niaz),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,Senior Audit Manager – NatWest Markets C11,Full time,110400.0,0.08,119232.0,119232.0,110400.0,1,Yes,Yes,110400.0,Performing,30000.0,0.271739,0.25,Audit
33374,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Anti-Money Laundering B6,Full time,7375.1,0.1188,8251.01,8251.01,7375.1,1,Yes,Yes,7375.1,Performing,481.75,0.065321,0.15,C&I RFB
33376,Customer & Operations (James Holian),Fraud Prevention COE (Nick Perkins),Fraud Operations (Vicki Graham) (Vicki Graham),A,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Fraud Prevention (Volume) A3,Full time,4764.91,0.0974,5229.14,5229.14,4764.91,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33377,Retail Banking (Solange Chamberlain),Customer Propositions and Journeys (Solange Chamberlain (Inherited)),Everyday Banking (Solange Chamberlain (Inherited)),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,6332.78,0.065,6744.45,6744.45,6332.78,1,Yes,Yes,6332.78,Performing,656.93,0.103735,0.15,Retail Banking
33378,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Anti-Money Laundering B5,Full time,5220.38,0.0872,5675.85,5675.85,5220.38,1,Yes,Yes,5220.38,Performing,332.84,0.063758,0.15,C&I RFB
33381,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst B6,Full time,5688.99,0.0785,6135.7,6135.7,5688.99,1,Yes,Yes,5688.99,Performing,521.16,0.091609,0.15,Customer & Operations
33382,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst - Anti-Money Laundering B6,Full time,7077.3,0.0866,7690.43,7690.43,7077.3,1,Yes,Yes,7077.3,Performing,525.54,0.074257,0.15,C&I RFB
33387,Commercial & Institutional Ring Fenced Bank (Robert Begbie),"Chief Operating Office, Commercial Banking (Sapna Dattani)",C and I Operations (Michael Carrier),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst B5,Full time,28598.46,0.045,29885.39,29885.39,28598.46,1,Yes,,0.0,,0.0,0.0,0.0,C&I RFB
33389,Retail Banking (Solange Chamberlain),Direct and Local Banking (Andrew Harrison),Head of Connected Customer Xperience (Tammy Martin),A,Female,21 - 30,Unknown,undisclosed,United Kingdom,Customer Service Associate Telephony (Volume) A4,Part time,19157.6,0.04,29056.292839,19923.9,19157.6,1,Yes,,0.0,,0.0,0.0,0.0,Retail Banking
33394,Retail Banking (Solange Chamberlain),NatWest Boxed (Andrew Ellis),Technology NatWest Boxed (Wayne Freeman),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,Software Development Engineer in Test IP C9,Full time,107403.18,0.0243,110014.23,110014.23,107403.18,1,Yes,Yes,107403.18,Performing,7333.0,0.068275,0.25,NatWest Boxed
33395,Retail Banking (Solange Chamberlain),NatWest Boxed (Andrew Ellis),Product NatWest Boxed (Ken Johnstone),C,Male,41 - 50,Unknown,undisclosed,United Kingdom,"Product Manager, Ventures C11",Full time,100000.0,0.03,103000.0,103000.0,100000.0,1,Yes,Yes,100000.0,Performing,21715.0,0.21715,0.25,NatWest Boxed
33398,Finance (Katie Murray),Finance - Treasury (Donal Quaid),Finance - Treasury Chief Operating Office (Helen Williams),B,Male,21 - 30,Unknown,undisclosed,United Kingdom,Treasury Transaction Support Analyst B7,Full time,44512.0,0.0449,46512.0,46512.0,44512.0,1,Yes,,0.0,,0.0,0.0,0.0,Finance
33401,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Team (Isabelle Girolami),Team (Robert Fries),C,Female,41 - 50,Unknown,undisclosed,Germany,Finance Lead C11,Full time,143057.05,0.025,146633.47,146633.47,143057.05,1,Yes,Yes,143057.05,Performing,0.0,0.0,0.25,C&I RFB
33403,Customer & Operations (James Holian),Property Services (Fiona Walmsley),"Property Services Print, Mail & Logistics (Shaun Campbell)",A,Female,41 - 50,Unknown,undisclosed,United Kingdom,Customer Service & Operations Analyst A3,Full time,25020.0,0.045,26145.9,26145.9,25020.0,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33404,Customer & Operations (James Holian),Property Services (Fiona Walmsley),Property Services India (Anthony Thomas),C,Male,31 - 40,Unknown,undisclosed,India,Technical Compliance & Assurance Manager C9,Full time,29955.88,0.0526,31532.51,31532.51,29955.88,1,Yes,Yes,29955.88,Performing,4379.52,0.146199,0.25,Customer & Operations
33405,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),FinCrime Technology Team (Nigel Hayward),C,Male,31 - 40,Unknown,undisclosed,India,WoW - Quality Manager C9,Full time,28033.28,0.0781,30223.03,30223.03,28033.28,1,Yes,Yes,28033.28,Performing,2803.33,0.1,0.25,Customer & Operations
33406,NatWest Digital X (Scott Marcar),Retail CDIO (Wendy Redshaw),Retail Banking DigiTech India (Dhiraj Anand),B,Male,41 - 50,Unknown,undisclosed,India,WoW - Software Engineer B8,Full time,25620.16,0.0701,27415.76,27415.76,25620.16,1,Yes,Yes,25620.16,Performing,1751.81,0.068376,0.15,NatWest Digital X
33407,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Customer and Trade Operations (Anurag Vohra),C,Female,31 - 40,Unknown,undisclosed,India,Development Manager C10,Full time,55983.34,0.0639,59561.4,59561.4,55983.34,1,Yes,Yes,55983.34,Performing,7445.18,0.132989,0.25,NatWest Digital X
33408,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),"Risk, Finance, Legal & Audit Solutions (Darren Buckley)",C,Male,51 - 60,Unknown,undisclosed,India,WoW - Environment Manager C10,Full time,46094.4,0.045,48170.29,48170.29,46094.4,1,Yes,Yes,46094.4,Performing,5531.33,0.12,0.25,NatWest Digital X
33412,Customer & Operations (James Holian),FinCrime Hub (Nicola Horton),Financial Crime Investigations (Rachel Blackamore),B,Female,31 - 40,Unknown,undisclosed,United Kingdom,Financial Crime Officer B5,Part time,30238.16,0.04,34941.877778,31447.69,30238.16,1,Yes,,0.0,,0.0,0.0,0.0,Customer & Operations
33420,Chief Audit Office (Nicholas Curle),IA Strategy and Transformation (Stuart Sands),IA Performance & Business Management (Gillian Normand),B,Female,41 - 50,Unknown,undisclosed,India,Senior Auditor B8,Full time,38373.31,0.0457,40125.12,40125.12,38373.31,1,Yes,Yes,38373.31,Performing,3503.61,0.091303,0.15,Audit
33421,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Customer and Trade Operations (Anurag Vohra),C,Male,41 - 50,Unknown,undisclosed,India,Technology WoW - Project Manager C9,Full time,41374.15,0.055,43650.63,43650.63,41374.15,1,Yes,Yes,41374.15,Performing,3027.95,0.073185,0.25,NatWest Digital X
33423,NatWest Digital X (Scott Marcar),C&I CDIO (Matt Camichel),Customer and Trade Operations (Anurag Vohra),C,Male,31 - 40,Unknown,undisclosed,India,WoW - Software Engineer C9,Full time,36069.69,0.0701,38596.67,38596.67,36069.69,1,Yes,Yes,36069.69,Performing,3722.59,0.103205,0.25,NatWest Digital X
33425,NatWest Digital X (Scott Marcar),Wealth CDIO (Raymond Mulligan),Core Platforms (Lukas Fries),B,Male,51 - 60,Unknown,undisclosed,Switzerland,WoW - Software Engineer B7,Full time,133786.66,0.0,133786.66,133786.66,0.0,0,,Yes,133786.66,Performing,7270.9,0.054347,0.15,NatWest Digital X
33427,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),Hosting Solutions - Network Services (Steven Henderson),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,WoW - Infrastructure Engineer C11,Full time,95560.0,0.03,98426.8,98426.8,95560.0,1,Yes,Yes,95560.0,Performing,9751.0,0.102041,0.25,NatWest Digital X
33429,Commercial & Institutional Ring Fenced Bank (Robert Begbie),Corporate & Institutional Banking (Isabelle Girolami),Structured Finance (David Basra),B,Female,21 - 30,Unknown,undisclosed,United Kingdom,Structured Finance - Corporate & Institutional Banking Junior Pool B7,Full time,76500.0,0.0458,80000.0,80000.0,76500.0,1,Yes,Yes,76500.0,Performing,12500.0,0.163399,0.65,C&I RFB
33430,Marketing (Margaret Jobling),Commercial and Institutional Marketing (Kirsty Howl),CIB Marketing Lead (Robyn Johnston),C,Female,41 - 50,Unknown,undisclosed,United Kingdom,Marketing Lead - Franchises C11,Full time,60415.99,0.0745,64915.99,64915.99,60415.99,1,Yes,Yes,60415.99,Performing,9062.4,0.15,0.25,Marketing
33435,NatWest Digital X (Scott Marcar),Technology (Ken Adamson),Core Solutions (Iain McCorquodale),C,Male,41 - 50,Unknown,undisclosed,India,WoW - Platform Lead C11,Full time,80013.74,0.0657,85269.16,85269.16,80013.74,1,Yes,Yes,80013.74,Performing,20558.62,0.256939,0.25,NatWest Digital X
33437,Customer & Operations (James Holian),Shared Services (Rosalin Williams),Customer Experience & Business Management (Rosalin Williams (Inherited)),B,Female,21 - 30,Unknown,undisclosed,India,Customer Service & Operations Analyst DSARS B6,Full time,11069.22,0.0896,12061.18,12061.18,11069.22,1,Yes,Yes,11069.22,Performing,1313.85,0.118694,0.15,Customer & Operations
33438,Retail Banking (Solange Chamberlain),NatWest Boxed (Andrew Ellis),Technology NatWest Boxed (Wayne Freeman),C,Male,31 - 40,Unknown,undisclosed,United Kingdom,"Software Engineer, Ventures C9",Full time,129595.0,0.034,134000.0,134000.0,129595.0,1,Yes,Yes,129595.0,Performing,32250.0,0.248852,0.25,NatWest Boxed
33439,Marketing (Margaret Jobling),Commercial and Institutional Marketing (Kirsty Howl),Business Banking & Entrepreneurship (Rebecca Burt),C,Male,51 - 60,Unknown,undisclosed,United Kingdom,Marketing & Performance Manager C9,Full time,76045.24,0.02,77566.14,77566.14,76045.24,1,Yes,Yes,76045.24,Performing,10646.33,0.14,0.25,Marketing
